questionOptionID,optionLabel,optionValue,questionID
0,A,Heart of Stone,0
1,B,Under My Thumb,0
2,C,Play With Fire,0
3,D,Its All Over Now,0
4,A,Tumbling Dice,1
5,B,Gimme Shelter,1
6,C,Street Fighting Man,1
7,D,Jumpin Jack Flash,1
8,A,As Tears Go By,2
9,B,(I Cant Get No) Satisfaction,2
10,C,Shes A Rainbow,2
11,D,Ruby Tuesday,2
12,A,Jumpin Jack Flash,3
13,B,Hot Stuff,3
14,C,Mothers Little Helper,3
15,D,You Cant Always Get What You Want,3
16,A,Sympathy for the Devil,4
17,B,Street Fighting Man,4
18,C,Harlem Shuffle,4
19,D,Gimme Shelter,4
20,A,Bon Jovi,5
21,B,Whitesnake,5
22,C,Cinderella,5
23,D,Def Leppard,5
24,A,L. A. Guns,6
25,B,Guns N Roses,6
26,C,Faster Pussycat,6
27,D,Dokken,6
28,A,Cinderella,7
29,B,Poison,7
30,C,New York Dolls,7
31,D,Motley Crue,7
32,A,Great White,8
33,B,Cinderella,8
34,C,Ratt,8
35,D,Whitesnake,8
36,A,Great White,9
37,B,Poison,9
38,C,Tesla,9
39,D,Whitesnake,9
40,A,Bon Jovi,10
41,B,W.A.S.P,10
42,C,Motley Crue,10
43,D,Skid Row,10
44,A,Poison,11
45,B,Great White,11
46,C,Whitesnake,11
47,D,Motley Crue,11
48,A,Motley Crue,12
49,B,Poison,12
50,C,Great White,12
51,D,Whitesnake,12
52,A,Metallica,13
53,B,Iron Maiden,13
54,C,Tesla,13
55,D,Twisted Sister,13
56,A,Metallica,14
57,B,Metal Church,14
58,C,Twisted Sister,14
59,D,Testament,14
60,A,cake you bake,15
61,B,time you shake,15
62,C,step you make,15
63,D,step you take,15
64,A,Does the dishes like you,16
65,B,Has got a body like you,16
66,C,Has such a body,16
67,D,Has it like you,16
68,A,Dont you know my precision oh,17
69,B,Make my own decisions oh,17
70,C,Ready for collision oh,17
71,D,This really is my vision oh,17
72,A,They cant take away my beat,18
73,B,They cant make me lose my dignity,18
74,C,I will still be,18
75,D,They cant take away my dignity,18
76,A,and i feel sure,19
77,B,and then some more,19
78,C,but im not sure,19
79,D,but i want more,19
80,A,possible,20
81,B,biological,20
82,C,logical,20
83,D,physical,20
84,A,tracks in the snow,21
85,B,bricks in the wall,21
86,C,flies on the wall,21
87,D,blocks in the wall,21
88,A,youre my last,22
89,B,it is all past,22
90,C,only love can last,22
91,D,a spell was cast,22
92,A,make you crash,23
93,B,make a pro blush,23
94,C,make you rush,23
95,D,win your trust,23
96,A,because Im a hound,24
97,B,I feel that you are around,24
98,C,my heart was just found,24
99,D,Im lost and Im found,24
100,A,Dirk Wears White Soxs,25
101,B,Mirror in the Bathroom,25
102,C,We Dont Talk anymore,25
103,D,Zenyatta Mondatta,25
104,A,Tainted Love,26
105,B,Dead Ringer,26
106,C,Oh Julie,26
107,D,One Day in Your Life,26
108,A,Karma Chameleon,27
109,B,Synchronicity,27
110,C,Physical,27
111,D,Blue Monday,27
112,A,Dangerous,28
113,B,Thriller,28
114,C,Blood on the Dance Floor,28
115,D,Bad,28
116,A,Wham!,29
117,B,The Bee Gees,29
118,C,The Smiths,29
119,D,Dire Straits,29
120,A,14 Years,30
121,B,Lose Your Illusion I,30
122,C,Lose Your Illusion II,30
123,D,Appetite For Destruction,30
124,A,Miami,31
125,B,New York,31
126,C,San Francisco,31
127,D,Washington,31
128,A,"Dont Worry, Be Happy",32
129,B,Circlesongs,32
130,C,Beyond Words,32
131,D,Bang! Zoom,32
132,A,Synchronicity,33
133,B,Zenyatta Mondatta,33
134,C,Reggatta De Blanc,33
135,D,Ghost In The Machine,33
136,A,Paul McCartney,34
137,B,John Lennon,34
138,C,Ringo Starr,34
139,D,George Harrison,34
140,A,Bangles,35
141,B,Bananarama,35
142,C,Go-Gos,35
143,D,Heart,35
144,A,Kim Carnes,36
145,B,Roxette,36
146,C,Bangles,36
147,D,Blondie,36
148,A,Blondie,37
149,B,Go-Gos,37
150,C,Annie Lennox,37
151,D,Cyndi Lauper,37
152,A,Kim Carnes,38
153,B,Bananarama,38
154,C,Roxette,38
155,D,Cyndi Lauper,38
156,A,Go-Gos,39
157,B,Roxette,39
158,C,Bananarama,39
159,D,Bangles,39
160,A,Cyndi Lauper,40
161,B,Heart,40
162,C,Blondie,40
163,D,Bangles,40
164,A,Annie Lennox,41
165,B,Pat Benetar,41
166,C,Cyndi Lauper,41
167,D,Blondie,41
168,A,Kim Carnes,42
169,B,Blondie,42
170,C,Pat Benatar,42
171,D,Cyndi Lauper,42
172,A,Roxette,43
173,B,Bangles,43
174,C,Bananarama,43
175,D,Go-Gos,43
176,A,Dolly Parton,44
177,B,LeAnn Rimes,44
178,C,Tanya Tucker,44
179,D,Reba McEntire,44
180,A,Travis Trit,45
181,B,George Jones,45
182,C,Kenny Rogers,45
