questionID,questionType,questionText,categoryID,answerOptionID
0,MCQ,"The controversial lyrics of this song by The Rolling Stones include, Its Down to me, the way she talks when shes spoken to",0,1
1,MCQ,"Mick Jagger sings Baby, baby, theres fever in the funk house now on this song.",0,4
2,MCQ,Lose Your Dreams and you will lose your mind are lyrics from this 1967 hit by The Rolling Stones.,0,11
3,MCQ,"Part of this song by The Rolling Stones goes, We decided that we would have a soda - my favorite flavor, cherry red?",0,15
4,MCQ,"The lyrics of this song by the Rolling Stones include the phrase Rape, murder!",0,19
5,MCQ,"Jon Bon Jovi, Richie Sambora, Alex John Such, Tico Torres, Dave Bryan",0,20
6,MCQ,"Don Dokken, George Lynch, Jeff Pilson, Mick Brown",0,27
7,MCQ,"Bret Michaels, Bobby Dall, Rikki Rockett, C.C DeVille",0,29
8,MCQ,"Fred Coury, Tom Keifer, Eric Brittingham, Jeff LaBar",0,33
9,MCQ,"David Coverdale, Rudy Sarzo, Tommy Aldridge, Steve Vai",0,39
10,MCQ,"Dave The Snake Sabo, Rachel Bolan, Sebastian Bach, Rob Affuso, Scott Hill",0,43
11,MCQ,"Tommy Lee, Vince Neil, Nikki Sixx, Mick Mars",0,47
12,MCQ,"Audie Desbrow, Jack Russell, Michael Lardie, Tony Montana, Mark Kendall",0,50
13,MCQ,"Troy Luccketta, Brian Wheat, Frank Hannon, Tommy Skeoch, Jeff Keith",0,54
14,MCQ,"James Hetfield, Lars Ulrich, Kirk Hammett, Jason Newsted",0,56
15,MCQ,Every breath you take- Every move you make- Every bond you break- Every ...,0,63
16,MCQ,Well I guess it would be nice- If I could touch your body- I know not everybody- ...,0,65
17,MCQ,Everybodys talking all this stuff about me- Why dont they just let me live (Tell me why)- I dont need permission- ...,0,69
18,MCQ,"If I fail, if I succeed- At least Ill live as I believe- No matter what they take from me- ...",0,75
19,MCQ,Sleight of hand and twist of fate- On a bed of nails she makes me wait- And I wait without you- With or without you- With or without you- Through the storm we reach the shore- You give it all ...,0,79
20,MCQ,That its only the thrill- Of boy meeting girl- Opposites attract- Its physical- Only ...,0,82
21,MCQ,I have seen the writing on the wall.- Dont think I need anything at all.- No! dont think Ill need anything at all.- All in all it was all just ...,0,85
22,MCQ,"Gonna give you all my love, boy- My fear is fading fast- Been saving it all for you- cause ...",0,90
23,MCQ,"And shell tease you- Shell unease you- All the better just to please ya- Shes precocious, and she knows just- What it takes to ...",0,93
24,MCQ,"Burning the ground I break from the crowd- Im on the hunt Im after you- I smell like I sound, ...",0,99
25,MCQ,This was the first digitally recorded track to become a hit in 1980.,0,101
26,MCQ,This song was the top single in 1981.  This song broke the US Top 100 chart longevity record by spending 106 weeks on it.,0,104
27,MCQ,This hit of Olivia Newton-John and its video made athletic wear fashionable in 1981.,0,110
28,MCQ,In 1983 Michael Jackson released this album which sold more than 25 million copies.,0,113
29,MCQ,This was the first western group to perform in China. They went there in 1985.,0,116
30,MCQ,In 1987 this album of Guns N Roses made huge success on both sides of the Atlantic. In the UK it stayed on the charts for 131 weeks and in the US it was on for 147 weeks.,0,123
31,MCQ,"In 1981 MTV was first shown in this city, and the first video to be broadcasted was Video Killed the Radio Star by The Buggles.",0,125
32,MCQ,In 1988 this song by Bobby McFerrin became one of the most overplayed songs of the century.,0,128
33,MCQ,This was the last number 1 album of Police with the hit single Every breath you take. It appeared on the UK charts in 1983.,0,132
34,MCQ,"This was probably one of the most shocking deaths during the 80s. On December 8, 1980 this member of the Beatles was shot.",0,137
35,MCQ,Six oclock already I was just in the middle of a dream- I was kissing Valentino by a crystal blue Italian stream,0,140
